CPV Divisió,Descripció Divisió,CPV Grup,Descripció Grup,CPV Classe,Descripció Classe,CPV Categoria,Descripció Categoria
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111000-2,Llavors
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111100-3,Soia
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111200-4,Cacauets
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111300-5,Llavors de gira-sol
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111400-6,Llavors de cotó
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111500-7,Llavors de sèsam
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111600-8,Llavors de mostassa
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111700-9,Llavors d'hortalisses
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111800-0,Llavors de fruits
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111900-1,Llavors de flors
