Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Observaciones,nif_licitador,valor_estimado_licitacion,nombre_poder_adjudicador,nif_adjudicador,nombre_adjudicatario,nif_adjudicatario,valor_oferta_adjudicada,verificacion_organismo,Enlace HTML
CORTES GENERALES,Mesa del Senado,39/2024.,02/01/2025,Licitación,Obras de reforma de la instalación eléctrica y de climatización en el centro de producción de televisión del Senado.,Abierto,Comunidad de Madrid,45000000 Trabajos de construcción,Reforma.,S2804003H.,"313.402,23 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-1
"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN","Junta de Contratación del Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",2024.12.01.0020.C.,02/01/2025,Contratación,"Suministro de Gas Natural en dos sedes del Ministerio de Asuntos Exteriores, Unión Europea y Cooperación.",Abierto,Comunidad de Madrid,"09000000 Derivados del petróleo, combustibles, electricidad y otras fuentes de energía 65000000 Servicios públicos",Varias adjudicaciones.,No disponible,No disponible,"Junta de Contratación del Ministerio de Asuntos Exteriores, Unión Europea y Cooperación.",S2812001B.,Comercializadora de Electricidad y Gas del Mediterraneo S.L.,B93506681.,"82.644,63 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-2
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",0MPR20240140.,02/01/2025,Contratación,"Servicio de mantenimiento, conducción y conservación de las instalaciones térmicas del Complejo de la Moncloa.",Abierto,Comunidad de Madrid,50700000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,"Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.",S2811001C.,FULTON SERVICIOS INTEGRALES SA.,A97152094.,"292.426,28 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-3
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00003194E.,02/01/2025,Contratación,"Servicio abierto de reparación de elementos estructurales del casco de las Goletas, Lanchas de Instrucción y embarcaciones de la Escuela de Especialidades de la Estación Naval de Graña.",Abierto,Galicia,"35000000 Equipo de seguridad, extinción de incendios, policía y defensa 50600000 Servicios de reparación y mantenimiento",Suministros y servicios.,No disponible,No disponible,Intendente de Ferrol.,S1515003J.,POLARIS LOCIS S.L.,****0594*.,"5.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-4
MINISTERIO DE DEFENSA,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,2024/EA02/00001680E.,02/01/2025,Contratación,"20242110 Servicio de apoyo en los procesos productivos con intervención de productos químicos, sellantes y adhesivos de las unidades del Ejército del Aire y del Espacio.",Abierto,Nacional,63000000 Servicios de transporte complementarios y auxiliares; servicios de agencias de viajes,No disponible,No disponible,No disponible,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio.,S2830189C.,"INTERNATIONAL SUPPLY MANAGEMENT, S.L.",B84396167.,"659.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-5
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Este,2024/ETSAE0327/00006284E.,02/01/2025,Contratación,"DANA Alquiler, limpieza, transporte y mantenimiento de cabinas sanitarias (W.C.,s químicos portátiles) necesarios para el personal de las Fuerzas Armadas desplegado en la Feria de Valencia y en la Base Militar ""General Almirante. TA.",Abierto,Comunidad Valenciana,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",Lote 2.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Este.,S0830042H.,"TOI TOI SANITARIOS MOVILES, S.A.",A62518121.,"9.900,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-6
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del CG de la Comandancia Gral,2024/ETSAE0287/00001081E.,02/01/2025,Contratación,Mantenimiento de instalaciones básicas en Islas y Peñones de soberanía Nacional. Tramitación Anticipada 2025. Aplic. 212(228706 ETH).,Abierto,Ciudad de Melilla,50700000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla.,S2930028B.,FDS MELILLA S.L.,B16914715.,"59.228,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-7
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Sur,2024/ETSAE0226/00007421E.,02/01/2025,Contratación,"Servicio de mantenimiento de los sistemas e instalaciones de electricidad en baja tensión en la Base ""Álvarez de Sotomayor"" Viator (Almería).",Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Sur.,S4130025B.,INSTALACIONES Y CONSTRUCCIONES ALMERIA S.L.U.,B04246401.,"17.864,05 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-8
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del CG de la Comandancia Gral,2024/ETSAE0287/00001279E.,02/01/2025,Contratación,Tramitación Anticipada Contrato basado en AM Traslados de mobiliario de ambito territorio nacional origen Melilla.,Abierto,Ciudad de Melilla,"98000000 Otros servicios comunitarios, sociales o personales",Acuerdo marco.,No disponible,No disponible,Jefatura de Asuntos Económicos del CG de la Comandancia Gral. de Melilla.,S2930028B.,ACTIVIDADES DE MUDANZAS Y GESTIONES OPERATIVAS S.A.,A81970568.,"80.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9
MINISTERIO DE DEFENSA,"Sección de Asuntos Económicos de la Jefatura Sistemas de Información, Telecomunicaciones y Asistencia Técnica",2024/ETSAE0904/00000443E.,02/01/2025,Contratación,Acuerdo Marco para la ejecución de trabajos técnicos relacionados con los riesgos en la arquitectura nube táctica de combate e implementación de herramienta de conciencia situacional del ámbito ciberespacial y cognitivo.,Negociado con publicidad,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",Acuerdo marco.,No disponible,No disponible,"Sección de Asuntos Económicos de la Jefatura Sistemas de Información, Telecomunicaciones y Asistencia Técnica.",S2830275J.,ALTEN SOLUCIONES PRODUCTOS AUDITORIA E INGENIERIA. S.A.U.,A79153920.,"1.305.785,15 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-10
